model;k;l;suppression_pct;info_loss_pct;prosecutor_risk;label
Original;1;1;0;0.0;1.000;Original
k-anonymity;2;1;5;11.4;0.5000;k=2
k-anonymity;5;1;5;24.7;0.2000;k=5
k-anonymity;10;1;5;33.8;0.1000;k=10
k-anonymity;25;1;5;48.6;0.0400;k=25
k-anonymity;50;1;5;58.1;0.0200;k=50
k-anonymity;100;1;5;68.4;0.0100;k=100
k-anon+l-div;5;2;5;28.3;0.2000;k=5 l=2
k-anon+l-div;5;3;5;41.7;0.1820;k=5 l=3
k-anon+l-div;5;4;5;57.4;0.1530;k=5 l=4
k-anon+l-div;5;5;5;71.9;0.1190;k=5 l=5
local-recoding;5;1;5;14.6;0.2000;local k=5
